ticker,model,horizon,RMSE,MAE,MAPE
AAPL,SARIMAX,1,0.9528322312794018,0.9528322312794018,0.8282616687208273
AAPL,SARIMAX,3,0.8184027919512693,0.8122496167584311,0.703105282588594
AAPL,GRU,7,3.111497224991409,2.523215584090264,2.275062386994344
AMZN,LSTM,1,1.3672409857827006,1.3672409857827006,0.85335225025952
AMZN,SARIMAX,3,3.44232086876179,2.8414226466161856,1.744241488688367
AMZN,LSTM,7,4.255026105193324,3.5540491546043347,2.2672841652875717
GOOG,SARIMAX,1,1.21672994049203,1.21672994049203,1.4829127303316574
GOOG,SARIMAX,3,1.0219887935740646,1.007136057809504,1.2479122531087592
GOOG,SARIMAX,7,2.296766095063077,1.922136217427911,2.442823205866626
MSFT,GRU,1,0.917050607382464,0.917050607382464,0.4241088773539057
MSFT,SARIMAX,3,2.408502515478581,1.9750974318573071,0.9326623202843052
MSFT,GRU,7,6.0767552989235405,5.116999079862454,2.490459143343656
TSLA,GRU,1,0.3809163514947613,0.3809163514947613,0.2716755818093029
TSLA,SARIMAX,3,1.2530067073636455,1.0492620806337527,0.7484753942389619
TSLA,GRU,7,3.47619687749203,2.38145877649062,1.7859591224816649
