ticker,model,horizon,RMSE,MAE,MAPE
AAPL,SARIMAX,1,0.9528322312794018,0.9528322312794018,0.8282616687208273
AAPL,SARIMAX,3,0.8184027919512693,0.8122496167584311,0.703105282588594
AAPL,SARIMAX,7,4.051820831166628,2.981176984191314,2.7060071808760227
AMZN,SARIMAX,1,1.5775015331347504,1.5775015331347504,0.9845846468080732
AMZN,SARIMAX,3,3.44232086876179,2.8414226466161856,1.744241488688367
AMZN,SARIMAX,7,5.023684110327874,3.906982826036836,2.5174928192641177
MSFT,SARIMAX,1,1.2671505401146703,1.2671505401146703,0.5860197776220398
MSFT,SARIMAX,3,2.408502515478581,1.9750974318573071,0.9326623202843051
MSFT,SARIMAX,7,8.421158676519678,7.076631914168895,3.469170638760634
TSLA,SARIMAX,1,1.5046025142423218,1.5046025142423218,1.0731063705836854
TSLA,SARIMAX,3,1.2530067073636457,1.0492620806337527,0.7484753942389619
TSLA,SARIMAX,7,6.478310837755929,4.978286549477848,3.7355582117107744
GOOG,SARIMAX,1,1.21672994049203,1.21672994049203,1.4829127303316574
GOOG,SARIMAX,3,1.0219887935740646,1.0071360578095039,1.2479122531087592
GOOG,SARIMAX,7,2.296766095063077,1.922136217427911,2.442823205866626
